region_id,region_name,soc,employment
AL,Alabama,11-1011,830.0
AL,Alabama,11-1021,32370.0
AL,Alabama,11-1031,1120.0
AL,Alabama,11-2011,50.0
AL,Alabama,11-2021,1660.0
AL,Alabama,11-2022,4380.0
AL,Alabama,11-2032,410.0
AL,Alabama,11-2033,210.0
AL,Alabama,11-3012,660.0
AL,Alabama,11-3013,950.0
AL,Alabama,11-3021,6480.0
AL,Alabama,11-3031,6390.0
AL,Alabama,11-3051,3610.0
AL,Alabama,11-3061,1400.0
AL,Alabama,11-3071,1180.0
AL,Alabama,11-3111,110.0
AL,Alabama,11-3121,1990.0
AL,Alabama,11-3131,110.0
AL,Alabama,11-9021,7520.0
AL,Alabama,11-9031,780.0
AL,Alabama,11-9033,3540.0
AL,Alabama,11-9041,3480.0
AL,Alabama,11-9051,5090.0
AL,Alabama,11-9072,50.0
AL,Alabama,11-9081,500.0
AL,Alabama,11-9111,9320.0
AL,Alabama,11-9121,280.0
AL,Alabama,11-9131,280.0
AL,Alabama,11-9141,3460.0
AL,Alabama,11-9151,2150.0
AL,Alabama,11-9161,230.0
AL,Alabama,11-9171,400.0
AL,Alabama,11-9199,2370.0
AL,Alabama,13-1020,8720.0
AL,Alabama,13-1031,4430.0
AL,Alabama,13-1041,3400.0
AL,Alabama,13-1051,2460.0
AL,Alabama,13-1071,11200.0
AL,Alabama,13-1075,510.0
AL,Alabama,13-1081,5790.0
AL,Alabama,13-1082,2590.0
AL,Alabama,13-1111,4980.0
AL,Alabama,13-1121,1170.0
AL,Alabama,13-1131,1020.0
AL,Alabama,13-1141,1060.0
AL,Alabama,13-1151,2750.0
AL,Alabama,13-1161,8780.0
AL,Alabama,13-1199,6990.0
AL,Alabama,13-2011,25420.0
AL,Alabama,13-2020,540.0
AL,Alabama,13-2031,940.0
AL,Alabama,13-2041,310.0
AL,Alabama,13-2051,2780.0
AL,Alabama,13-2052,2320.0
AL,Alabama,13-2053,1050.0
AL,Alabama,13-2054,140.0
AL,Alabama,13-2061,690.0
AL,Alabama,13-2072,5680.0
AL,Alabama,13-2081,1180.0
AL,Alabama,13-2082,550.0
AL,Alabama,13-2099,660.0
AL,Alabama,15-1211,6830.0
AL,Alabama,15-1212,3290.0
AL,Alabama,15-1221,540.0
AL,Alabama,15-1231,1020.0
AL,Alabama,15-1232,7430.0
AL,Alabama,15-1241,3610.0
AL,Alabama,15-1242,1990.0
AL,Alabama,15-1243,310.0
AL,Alabama,15-1244,4980.0
AL,Alabama,15-1251,1360.0
AL,Alabama,15-1252,18020.0
AL,Alabama,15-1253,1910.0
AL,Alabama,15-1254,790.0
AL,Alabama,15-1255,130.0
AL,Alabama,15-1299,2450.0
AL,Alabama,15-2031,500.0
AL,Alabama,15-2041,200.0
AL,Alabama,15-2051,1620.0
AL,Alabama,17-1011,1270.0
AL,Alabama,17-1012,230.0
AL,Alabama,17-1021,30.0
AL,Alabama,17-1022,830.0
AL,Alabama,17-2011,5570.0
AL,Alabama,17-2041,540.0
AL,Alabama,17-2051,5920.0
AL,Alabama,17-2061,800.0
AL,Alabama,17-2071,4470.0
AL,Alabama,17-2072,1780.0
AL,Alabama,17-2081,660.0
AL,Alabama,17-2111,550.0
AL,Alabama,17-2112,8040.0
AL,Alabama,17-2131,660.0
AL,Alabama,17-2141,5480.0
AL,Alabama,17-2151,80.0
AL,Alabama,17-2161,270.0
AL,Alabama,17-2171,140.0
AL,Alabama,17-2199,3370.0
AL,Alabama,17-3011,1350.0
AL,Alabama,17-3012,290.0
AL,Alabama,17-3013,590.0
AL,Alabama,17-3021,210.0
AL,Alabama,17-3022,1570.0
AL,Alabama,17-3023,1950.0
AL,Alabama,17-3024,70.0
AL,Alabama,17-3026,830.0
AL,Alabama,17-3027,350.0
AL,Alabama,17-3028,50.0
AL,Alabama,17-3029,540.0
AL,Alabama,17-3031,1210.0
AL,Alabama,19-1012,50.0
AL,Alabama,19-1013,90.0
AL,Alabama,19-1021,100.0
AL,Alabama,19-1022,90.0
AL,Alabama,19-1023,310.0
AL,Alabama,19-1029,250.0
AL,Alabama,19-1031,110.0
AL,Alabama,19-1032,300.0
AL,Alabama,19-1041,60.0
AL,Alabama,19-1042,1460.0
AL,Alabama,19-1099,50.0
AL,Alabama,19-2012,360.0
AL,Alabama,19-2021,230.0
AL,Alabama,19-2031,630.0
AL,Alabama,19-2041,920.0
AL,Alabama,19-2042,140.0
AL,Alabama,19-2043,30.0
AL,Alabama,19-2099,150.0
AL,Alabama,19-3011,40.0
AL,Alabama,19-3033,360.0
AL,Alabama,19-3034,320.0
AL,Alabama,19-3039,100.0
AL,Alabama,19-3051,560.0
AL,Alabama,19-3091,210.0
AL,Alabama,19-3093,60.0
AL,Alabama,19-3099,320.0
AL,Alabama,19-4012,40.0
AL,Alabama,19-4021,300.0
AL,Alabama,19-4031,1180.0
AL,Alabama,19-4042,340.0
AL,Alabama,19-4043,40.0
AL,Alabama,19-4051,170.0
AL,Alabama,19-4071,180.0
AL,Alabama,19-4092,160.0
AL,Alabama,19-4099,250.0
AL,Alabama,19-5011,2100.0
AL,Alabama,19-5012,480.0
AL,Alabama,21-1012,4510.0
AL,Alabama,21-1013,200.0
AL,Alabama,21-1015,460.0
AL,Alabama,21-1018,3340.0
AL,Alabama,21-1019,50.0
AL,Alabama,21-1021,4430.0
AL,Alabama,21-1022,2640.0
AL,Alabama,21-1023,670.0
AL,Alabama,21-1029,450.0
AL,Alabama,21-1091,620.0
AL,Alabama,21-1092,960.0
AL,Alabama,21-1093,3260.0
AL,Alabama,21-1094,190.0
AL,Alabama,21-1099,70.0
AL,Alabama,21-2011,720.0
AL,Alabama,21-2021,110.0
AL,Alabama,23-1011,5810.0
AL,Alabama,23-1021,80.0
AL,Alabama,23-1022,40.0
AL,Alabama,23-1023,610.0
