,Management,Business & Financial,Computer & Math,Architecture & Eng,Life/Physical Science,Community & Social,Legal,Education & Library,Arts & Entertainment,Healthcare Practitioners,Healthcare Support,Protective Service,Food Preparation,Building & Grounds,Personal Care & Service,Sales,Office & Admin Support,Farming/Fishing/Forestry,Construction & Extraction,Install/Maint/Repair,Production,Transportation & Material Moving,Military
Management,231785.0,134821.0,20776.0,168383.0,300878.0,191229.0,78601.0,668186.0,311948.0,636891.0,92397.0,157765.0,33473.0,10444.0,185375.0,132239.0,116082.0,14214.0,117784.0,83123.0,75579.0,59557.0,101101.0
Business & Financial,332730.0,220622.0,36228.0,244624.0,391862.0,206027.0,119275.0,811923.0,433401.0,794423.0,89493.0,172744.0,27992.0,9068.0,168752.0,186122.0,193668.0,12372.0,99998.0,83106.0,64570.0,50365.0,100529.0
Computer & Math,279453.0,197216.0,30988.0,207074.0,321303.0,159087.0,102266.0,653859.0,361752.0,636194.0,62443.0,130009.0,16361.0,5014.0,115444.0,155904.0,169516.0,6815.0,57163.0,57435.0,36614.0,28958.0,72140.0
Architecture & Eng,62801.0,36758.0,5705.0,44223.0,80486.0,48695.0,21049.0,173096.0,84707.0,179616.0,29045.0,46839.0,12807.0,4707.0,55320.0,35987.0,31909.0,6473.0,48259.0,28575.0,31760.0,23980.0,30231.0
Life/Physical Science,17843.0,9748.0,1483.0,12808.0,23621.0,15030.0,5803.0,51603.0,24456.0,54853.0,9817.0,15137.0,4620.0,1733.0,18707.0,10344.0,8505.0,2385.0,17565.0,9798.0,11595.0,8709.0,10029.0
Community & Social,12585.0,5835.0,843.0,8632.0,17096.0,11732.0,3829.0,39818.0,16778.0,38083.0,6682.0,10486.0,2729.0,883.0,13631.0,7027.0,5045.0,1205.0,9745.0,6065.0,6287.0,4909.0,7117.0
Legal,17828.0,11153.0,1762.0,12926.0,21856.0,12583.0,5548.0,46607.0,23465.0,45964.0,6189.0,10908.0,2280.0,769.0,11929.0,10016.0,9617.0,1052.0,8280.0,5803.0,5378.0,4153.0,6735.0
Education & Library,59593.0,29892.0,4439.0,41344.0,78860.0,54572.0,18708.0,178100.0,78911.0,172275.0,28339.0,45731.0,11113.0,3539.0,57616.0,33194.0,25790.0,4823.0,39424.0,25577.0,25373.0,19892.0,30480.0
Arts & Entertainment,27065.0,15346.0,2357.0,19730.0,35989.0,21879.0,8942.0,76493.0,36866.0,85505.0,15827.0,23977.0,7918.0,3102.0,29401.0,15974.0,13450.0,4280.0,30695.0,16368.0,20400.0,15147.0,15848.0
Healthcare Practitioners,34749.0,18012.0,2676.0,26328.0,51932.0,31211.0,11037.0,104967.0,53974.0,146539.0,35545.0,48175.0,21393.0,9062.0,62859.0,22779.0,16417.0,12556.0,85995.0,39962.0,57840.0,42070.0,33178.0
