soc,title,group,group_name,phys_share,ai_tech,robot_tech,barrier,raw_capability,displacement,primary_threat,national_employment,outflow,inflow,net_flow,net_flow_pct
11-1011,Chief Executives,11,Management,4,52,3,25,50.0,38,AI,168030.0,63851.0,58569.0,-5283.0,-3.1
11-1021,General & Operations Managers,11,Management,4,52,3,25,50.0,38,AI,3551970.0,1349749.0,56558.0,-1293191.0,-36.4
11-1031,Legislators,11,Management,4,52,3,95,50.0,3,AI,22950.0,688.0,143601.0,142913.0,622.7
11-2011,Advertising & Promotions Managers,11,Management,4,52,3,25,50.0,38,AI,14430.0,5483.0,58660.0,53177.0,368.5
11-2021,Marketing Managers,11,Management,4,52,3,25,50.0,38,AI,378410.0,143796.0,58444.0,-85352.0,-22.6
11-2022,Sales Managers,11,Management,4,52,3,25,50.0,38,AI,592820.0,225272.0,58316.0,-166955.0,-28.2
11-2031,Public Relations & Fundraising Managers,11,Management,4,52,3,25,50.0,38,AI,0.0,0.0,58669.0,58669.0,
11-3012,Administrative Services Managers,11,Management,4,52,3,25,50.0,38,AI,253540.0,96345.0,58518.0,-37827.0,-14.9
11-3013,Facilities Managers,11,Management,4,52,3,25,50.0,38,AI,140030.0,53211.0,58586.0,5374.0,3.8
11-3021,Computer & Information Systems Managers,11,Management,4,52,3,25,50.0,38,AI,630290.0,239510.0,58294.0,-181216.0,-28.8
11-3031,Financial Managers,11,Management,4,52,3,25,50.0,38,AI,811470.0,308359.0,58187.0,-250172.0,-30.8
11-3051,Industrial Production Managers,11,Management,4,52,3,25,50.0,38,AI,231150.0,87837.0,58531.0,-29306.0,-12.7
11-3061,Purchasing Managers,11,Management,4,52,3,25,50.0,38,AI,77270.0,29363.0,58623.0,29260.0,37.9
11-3071,Transportation/Distribution Managers,11,Management,4,42,3,25,40.4,30,AI,211740.0,63522.0,70359.0,6837.0,3.2
11-3111,Compensation & Benefits Managers,11,Management,4,52,3,25,50.0,38,AI,19000.0,7220.0,58657.0,51437.0,270.7
11-3121,Human Resources Managers,11,Management,4,52,3,25,50.0,38,AI,186260.0,70779.0,58558.0,-12221.0,-6.6
11-3131,Training & Development Managers,11,Management,4,52,3,25,50.0,38,AI,35550.0,13509.0,58648.0,45139.0,127.0
11-3141,Compensation Managers,11,Management,4,52,3,25,50.0,38,AI,0.0,0.0,58669.0,58669.0,
11-9011,Farm Managers,11,Management,4,52,3,25,50.0,38,AI,0.0,0.0,58669.0,58669.0,
11-9021,Construction Managers,11,Management,4,52,3,25,50.0,38,AI,335540.0,127505.0,58469.0,-69036.0,-20.6
11-9031,Education Administrators (Postsecondary),11,Management,4,52,3,25,50.0,38,AI,61040.0,23195.0,58632.0,35437.0,58.1
11-9032,Education Administrators (K-12),11,Management,4,52,3,25,50.0,38,AI,312530.0,118761.0,58483.0,-60278.0,-19.3
11-9033,Education Administrators (Preschool),11,Management,4,52,2,25,50.0,38,AI,166260.0,63179.0,58570.0,-4609.0,-2.8
11-9041,Architectural & Engineering Managers,11,Management,4,52,3,25,50.0,38,AI,195550.0,74309.0,58553.0,-15756.0,-8.1
11-9051,Food Service Managers,11,Management,4,52,3,25,50.0,38,AI,240300.0,91314.0,58526.0,-32788.0,-13.6
11-9061,Funeral Home Managers,11,Management,4,52,3,55,50.0,23,AI,0.0,0.0,90491.0,90491.0,
11-9071,Gaming Managers,11,Management,4,52,3,25,50.0,38,AI,3950.0,1501.0,58666.0,57165.0,1447.2
11-9081,Lodging Managers,11,Management,4,52,3,25,50.0,38,AI,37490.0,14246.0,58646.0,44400.0,118.4
11-9111,Medical & Health Services Managers,11,Management,4,52,3,25,50.0,38,AI,553690.0,210402.0,58340.0,-152062.0,-27.5
11-9121,Natural Sciences Managers,11,Management,4,52,3,25,50.0,38,AI,97920.0,37210.0,58611.0,21401.0,21.9
11-9141,Property/Community Association Managers,11,Management,4,52,3,25,50.0,38,AI,255380.0,97044.0,58517.0,-38527.0,-15.1
11-9151,Social & Community Service Managers,11,Management,4,52,3,25,50.0,38,AI,190230.0,72287.0,58556.0,-13732.0,-7.2
11-9161,Emergency Management Directors,11,Management,4,52,2,25,50.0,38,AI,12290.0,4670.0,58661.0,53991.0,439.3
11-9171,Funeral Home Directors,11,Management,4,52,3,55,50.0,23,AI,12890.0,2965.0,90484.0,87519.0,679.0
11-9179,Postmasters & Mail Superintendents,11,Management,4,52,3,25,50.0,38,AI,8320.0,3162.0,58664.0,55502.0,667.1
11-9199,Managers NEC,11,Management,4,52,3,25,50.0,38,AI,585230.0,222387.0,58321.0,-164066.0,-28.0
13-1011,Agents/Business Managers of Artists,13,Business & Financial,3,72,4,30,70.0,49,AI,13490.0,6610.0,39624.0,33014.0,244.7
13-1021,Buyers & Purchasing Agents (Farm),13,Business & Financial,3,72,4,30,70.0,49,AI,0.0,0.0,39632.0,39632.0,
13-1022,Wholesale/Retail Buyers (Non-Farm),13,Business & Financial,3,72,4,30,70.0,49,AI,0.0,0.0,39632.0,39632.0,
13-1023,Purchasing Agents (Non-Farm),13,Business & Financial,3,72,4,30,70.0,49,AI,0.0,0.0,39632.0,39632.0,
13-1031,Claims Adjusters & Investigators,13,Business & Financial,3,72,4,30,70.0,49,AI,301760.0,147862.0,39445.0,-108417.0,-35.9
13-1032,Insurance Appraisers (Auto),13,Business & Financial,3,72,4,30,70.0,49,AI,5620.0,2754.0,39629.0,36875.0,656.1
13-1041,Compliance Officers,13,Business & Financial,3,72,4,30,70.0,49,AI,395320.0,193707.0,39387.0,-154320.0,-39.0
13-1051,Cost Estimators,13,Business & Financial,3,72,4,30,70.0,49,AI,214180.0,104948.0,39499.0,-65449.0,-30.6
13-1071,Human Resources Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,900640.0,441314.0,39073.0,-402241.0,-44.7
13-1074,Farm Labor Contractors,13,Business & Financial,3,72,4,55,70.0,31,AI,0.0,0.0,72545.0,72545.0,
13-1075,Labor Relations Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,64280.0,31497.0,39592.0,8095.0,12.6
13-1081,Logisticians,13,Business & Financial,3,72,4,30,70.0,49,AI,232120.0,113739.0,39488.0,-74251.0,-32.0
13-1082,Project Management Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,974950.0,477726.0,39027.0,-438699.0,-45.0
